,ZCTA5,STATE,COUNTY,state_fips,state,county_fips,county,class_code
14627,36272,01,015,01,AL,015,Calhoun County,H1
14628,36272,01,019,01,AL,019,Cherokee County,H1
14629,36272,01,029,01,AL,029,Cleburne County,H1
14630,36272,01,055,01,AL,055,Etowah County,H1
14631,36273,01,029,01,AL,029,Cleburne County,H1
14632,36274,01,017,01,AL,017,Chambers County,H1
14633,36274,01,111,01,AL,111,Randolph County,H1
14634,36276,01,017,01,AL,017,Chambers County,H1
14635,36276,01,027,01,AL,027,Clay County,H1
14636,36276,01,111,01,AL,111,Randolph County,H1
14637,36276,01,123,01,AL,123,Tallapoosa County,H1
14638,36277,01,015,01,AL,015,Calhoun County,H1
14639,36278,01,111,01,AL,111,Randolph County,H1
14640,36279,01,015,01,AL,015,Calhoun County,H1
14641,36280,01,111,01,AL,111,Randolph County,H1
14642,36301,01,061,01,AL,061,Geneva County,H1
14643,36301,01,069,01,AL,069,Houston County,H1
14644,36303,01,045,01,AL,045,Dale County,H1
14645,36303,01,067,01,AL,067,Henry County,H1
14646,36303,01,069,01,AL,069,Houston County,H1
14647,36305,01,061,01,AL,061,Geneva County,H1
14648,36305,01,069,01,AL,069,Houston County,H1
14649,36310,01,067,01,AL,067,Henry County,H1
14650,36311,01,005,01,AL,005,Barbour County,H1
14651,36311,01,031,01,AL,031,Coffee County,H1
14652,36311,01,045,01,AL,045,Dale County,H1
14653,36312,01,069,01,AL,069,Houston County,H1
14654,36313,01,061,01,AL,061,Geneva County,H1
14655,36314,01,061,01,AL,061,Geneva County,H1
14656,36316,01,031,01,AL,031,Coffee County,H1
14657,36316,01,061,01,AL,061,Geneva County,H1
14658,36317,01,005,01,AL,005,Barbour County,H1
14659,36317,01,045,01,AL,045,Dale County,H1
14660,36317,01,067,01,AL,067,Henry County,H1
14661,36318,01,031,01,AL,031,Coffee County,H1
14662,36318,01,061,01,AL,061,Geneva County,H1
14663,36319,01,067,01,AL,067,Henry County,H1
14664,36319,01,069,01,AL,069,Houston County,H1
14665,36320,01,069,01,AL,069,Houston County,H1
14666,36321,01,069,01,AL,069,Houston County,H1
14667,36322,01,031,01,AL,031,Coffee County,H1
14668,36322,01,045,01,AL,045,Dale County,H1
14669,36322,01,061,01,AL,061,Geneva County,H1
14670,36323,01,031,01,AL,031,Coffee County,H1
14671,36330,01,031,01,AL,031,Coffee County,H1
14672,36330,01,045,01,AL,045,Dale County,H1
14673,36340,01,061,01,AL,061,Geneva County,H1
14674,36343,01,069,01,AL,069,Houston County,H1
14675,36344,01,061,01,AL,061,Geneva County,H1
14676,36345,01,045,01,AL,045,Dale County,H1
14677,36345,01,067,01,AL,067,Henry County,H1
14678,36345,01,069,01,AL,069,Houston County,H1
14679,36346,01,031,01,AL,031,Coffee County,H1
14680,36350,01,045,01,AL,045,Dale County,H1
14681,36350,01,069,01,AL,069,Houston County,H1
14682,36351,01,031,01,AL,031,Coffee County,H1
14683,36352,01,045,01,AL,045,Dale County,H1
14684,36352,01,061,01,AL,061,Geneva County,H1
14685,36352,01,069,01,AL,069,Houston County,H1
14686,36353,01,045,01,AL,045,Dale County,H1
14687,36353,01,067,01,AL,067,Henry County,H1
14688,36360,01,031,01,AL,031,Coffee County,H1
14689,36360,01,045,01,AL,045,Dale County,H1
14690,36362,01,045,01,AL,045,Dale County,H1
14691,36370,01,069,01,AL,069,Houston County,H1
14692,36371,01,045,01,AL,045,Dale County,H1
14693,36373,01,067,01,AL,067,Henry County,H1
14694,36374,01,005,01,AL,005,Barbour County,H1
14695,36374,01,045,01,AL,045,Dale County,H1
14696,36375,01,061,01,AL,061,Geneva County,H1
14697,36375,01,069,01,AL,069,Houston County,H1
